city,Ancud,Antofagasta,Arica,Calama,Coyhaique,Concepción,Iquique,La Serena,Puerto Natales,Puerto Montt,Punta Arenas,Santiago,Temuco,Valdivia,Valparaíso,Viña del Mar
Ancud,0,2467,3168,2680,724,716,2959,1580,2389,90,2427,1106,429,306,1226,1225
Antofagasta,2467,0,701,213,3011,1880,492,887,4464,2377,4451,1361,2038,2202,1319,1311
Arica,3168,701,0,614,3712,2581,316,1588,5165,3078,5152,2062,2739,2903,2020,2012
Calama,2680,213,614,0,3223,2091,410,1100,4677,2590,4664,1574,2251,2415,1532,2012
Coyhaique,724,3011,3712,3223,0,1260,3503,2124,1593,634,1580,1649,973,850,1769,1769
Concepción,716,1880,2581,2091,1260,0,2372,993,2707,626,2700,519,287,452,639,638
Iquique,2959,492,316,410,3503,2372,0,1377,4748,2869,4943,1853,2530,2694,1811,1803
La Serena,1580,887,1588,1100,2124,993,1377,0,3577,1490,3564,474,1151,1313,432,424
Puerto Natales,2389,4464,5165,4677,1593,2707,4748,3577,0,2299,254,3103,2424,2295,3223,3224
Puerto Montt,90,2377,3078,2590,634,626,2869,1490,2299,0,2286,1016,339,210,1136,1135
Punta Arenas,2427,4451,5152,4664,1580,2700,4943,3564,254,2286,0,3090,2413,2177,3210,3210
Santiago,1106,1361,2062,1574,1649,519,1853,474,3103,1016,3090,0,677,839,120,120
Temuco,429,2038,2739,2251,973,287,2530,1151,2424,339,2413,677,0,162,797,796
Valdivia,306,2202,2903,2415,850,452,2694,1313,2295,210,2177,839,162,0,961,960
Valparaíso,1226,1319,2020,1532,1769,639,1811,432,3223,1136,3210,120,797,961,0,8
Viña del Mar,1225,1311,2012,2012,1769,638,1803,424,3224,1135,3210,120,796,960,8,0
